ID_PERSONA_PR,ANO_CONVO_INT,inst_a,inst_b
302392,2019,GRUPO PARA EL CONTROL DE LA RESISTENCIA BACTERIANA BOGOTA,UNIVERSIDAD NACIONAL DE COLOMBIA
302953,2019,UNIVERSIDAD DE ALICANTE,UNIVERSIDAD DE ANTIOQUIA
302996,2019,CENTRO DE BIOINFORMATICA Y BIOLOGIA COMPUTACIONAL DE COLOMBIA,UNIVERSIDAD NACIONAL DE COLOMBIA
307815,2019,UNIVERSIDAD NACIONAL DE COLOMBIA,UNIVERSIDAD PEDAGOGICA NACIONAL
309818,2019,CIUDAD DIGITAL ALCALDIA DE BUCARAMANGA,UNIVERSIDAD INDUSTRIAL DE SANTANDER
311006,2019,LATINOAMERICANA DE EDUCACION INVESTIGACION Y TECNOLOGIA,UNIVERSIDAD AUTONOMA DEL CARIBE
311960,2019,CORPORACION UNIVERSIDAD DE INVESTIGACION Y DESARROLLO,UNIVERSIDAD LIBRE DE COLOMBIA
315087,2019,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA,UNIVERSIDAD DE LOS LLANOS
319066,2019,RED DE UNIVERSIDADES DEL DOCTORADO EN CIENCIAS DE LA EDUCACION,UNIVERSIDAD DE CARTAGENA
321338,2019,CORPORACION UNIVERSITARIA MINUTO DE DIOS UNIMINUTO,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA
323144,2019,ABOGADO LITIGANTE,UNIVERSIDAD DE MEDELLIN
330809,2019,UNIVERSIDAD ANTONIO NARINO,UNIVERSIDAD DE ANTIOQUIA
333301,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD EXTERNADO DE COLOMBIA
335363,2019,DEPARTAMENTO DE HISTORIA UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE ANTIOQUIA
337471,2019,CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA CVC,UNIVERSITY OF FREIBURG
343242,2019,UNIVERSIDAD DE PAMPLONA,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER
344893,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE SAN BUENAVENTURA
