nombre_canonico,sigla,naturaleza,sedes_registradas,departamentos,apariciones_totales,variantes_inst_filia
Fundación Universitaria Sanitas,Sanitas,privada,1,Bogotá D.C.,50,1
Fundación Instituto de Inmunología de Colombia,FIDIC,privada,1,Bogotá D.C.,49,1
Corporación Universitaria Adventista,UNAC,privada,1,Antioquia,49,1
Unidad Central del Valle del Cauca,UCEVA,publica,1,Valle del Cauca,48,1
Fundación Universitaria Autónoma de las Américas,Americas,privada,1,Antioquia,48,1
Centro de Investigación de la Caña de Azúcar,Cenicaña,mixta,1,Valle del Cauca,47,1
Colegio de Estudios Superiores de Administración,CESA,privada,1,Bogotá D.C.,47,1
Hospital San Vicente Fundación,HSVF,privada,1,Antioquia,46,1
Instituto Caro y Cuervo,ICC,publica,1,Bogotá D.C.,45,1
Institución Universitaria Antonio José Camacho,UNIAJC,publica,1,Valle del Cauca,45,1
Fundación Universitaria de San Gil,Unisangil,privada,1,Santander,44,1
Institución Universitaria Esumer,Esumer,privada,1,Antioquia,44,1
Fundación Universitaria de Popayán,FUP,privada,1,Cauca,44,1
Consejo Superior de Investigaciones Científicas (España),CSIC,publica,1,EXTRANJERO,44,1
Fundación Universitaria Juan N. Corpas,Corpas,privada,1,Bogotá D.C.,42,1
Universidad de São Paulo (Brasil),USP,publica,1,EXTRANJERO,42,1
Institución Universitaria Colegios de Colombia,UNICOC,privada,1,Bogotá D.C.,41,1
Corporación Universitaria Latinoamericana,CUL,privada,1,Atlántico,41,1
Corporación Universitaria Autónoma del Cauca,Uniautónoma-Cauca,privada,1,Cauca,41,1
Secretaría Distrital de Salud de Bogotá,SDS,publica,1,Bogotá D.C.,37,1
Fundación Neumológica Colombiana,FNC,privada,1,Bogotá D.C.,36,1
Sumicol S.A.S.,Sumicol,privada,1,Antioquia,36,1
Fundación Universitaria San Mateo,San Mateo,privada,1,Bogotá D.C.,36,1
Fundación Universitaria Colombo Internacional,Unicolombo,privada,1,Bolívar,35,1
Corporación Universitaria del Meta,UNIMETA,privada,1,Meta,34,1
Fundación Universitaria CEIPA,CEIPA,privada,1,Antioquia,34,1
Corporación para la Investigación de la Corrosión,CIC,mixta,1,Santander,33,1
Fundación Oftalmológica de Santander,FOSCAL,privada,1,Santander,32,1
Instituto de Capacitación e Investigación del Plástico y del Caucho,ICIPC,privada,1,Antioquia,32,1
Escuela Superior de Guerra,ESDEG,publica,1,Bogotá D.C.,31,1
Politécnico de la Costa Atlántica,PCA,privada,1,Atlántico,31,1
Instituto Colombiano de Antropología e Historia,ICANH,publica,1,Bogotá D.C.,31,1
Fundación Universidad INCCA de Colombia,INCCA,privada,1,Bogotá D.C.,30,1
Corporación Universitaria Santa Rosa de Cabal,UNISARC,privada,1,Risaralda,30,1
Corporación Universitaria del Huila,Corhuila,privada,1,Huila,30,1
Instituto Nacional de Metrología,INM,publica,1,Bogotá D.C.,29,1
Instituto Neurológico de Colombia,INDEC,privada,1,Antioquia,29,1
Centro para la Investigación en Sistemas Sostenibles de Producción Agropecuaria,CIPAV,mixta,1,Valle del Cauca,29,1
Corporación Universitaria Comfacauca,Unicomfacauca,privada,1,Cauca,28,1
Centro Dermatológico Federico Lleras Acosta,CDFLLA,publica,1,Bogotá D.C.,27,1
Fundación Universitaria Navarra,UNINAVARRA,privada,1,Huila,26,1
Centro Médico Imbanaco,Imbanaco,privada,1,Valle del Cauca,26,1
Compañía Nacional de Levaduras Levapan,Levapan,privada,1,Valle del Cauca,25,1
Corporación Universitaria de Sabaneta,UNISABANETA,privada,1,Antioquia,25,1
Fundación Erigaie,Erigaie,privada,1,Bogotá D.C.,25,1
Fundación Tecnológica Antonio de Arévalo,Tecnar,privada,1,Bolívar,24,1
Corporación Vidarium,Vidarium,privada,1,Antioquia,24,1
Fundación Clínica Shaio,Shaio,privada,1,Bogotá D.C.,24,1
Fundación Católica Lumen Gentium,FUCLG,privada,1,Valle del Cauca,24,1
Hospital Universitario de la Samaritana,HUS,publica,1,Bogotá D.C.,24,1
Hospital de San José - Sociedad de Cirugía de Bogotá,HSJ,privada,1,Bogotá D.C.,24,1
Corporación Universitaria Centro Superior,UNICUCES,privada,1,Valle del Cauca,23,1
Jardín Botánico de Bogotá José Celestino Mutis,JBB,publica,1,Bogotá D.C.,23,1
Industria de Alimentos Zenú,Zenú,privada,1,Antioquia,23,1
Corporación Universitaria Empresarial Alexander von Humboldt,CUE,privada,1,Quindío,23,1
Universidad del Pacífico,Unipacífico,publica,1,Valle del Cauca,22,1
Corporación Universitaria Iberoamericana,Iberoamericana,privada,1,Bogotá D.C.,22,1
Corporación CorpoGen,Corpogen,privada,1,Bogotá D.C.,22,1
Universidad Estadual Paulista (Brasil),UNESP,publica,1,EXTRANJERO,22,1
"Corporación Universitaria de Ciencias Empresariales, Educación y Salud",CORSALUD,privada,1,Atlántico,22,1
Corporación Universitaria de Ciencia y Desarrollo,UNICIENCIA,privada,1,Santander,21,1
Fundación Hospital de la Misericordia,HOMI,privada,1,Bogotá D.C.,21,1
Fundación Universitaria Compensar,UCompensar,privada,1,Bogotá D.C.,21,1
Institución Universitaria Salazar y Herrera,IUSH,privada,1,Antioquia,21,1
Instituto Geográfico Agustín Codazzi,IGAC,publica,1,Bogotá D.C.,21,1
Instituto de Alta Tecnología Médica de Antioquia,IATM,privada,1,Antioquia,21,1
Corporación Universitaria Reformada,UNIREFORMADA,privada,1,Atlántico,20,1
Corporación de Lucha contra el Sida,CLS,privada,1,Valle del Cauca,20,1
Instituto Nacional de Medicina Legal y Ciencias Forenses,INMLCF,publica,1,Bogotá D.C.,19,1
Anhídridos y Derivados de Colombia,Andercol,privada,1,Antioquia,19,1
Alpina Productos Alimenticios,Alpina,privada,1,Cundinamarca,19,1
